Label,Full Name,Combination,Dry,Normal,Oily,Sensitive,Hazard (bio) Score,Price (Euro),Online Review,img_url,Product Utilities,
Moisturizer,OLEHENRIKSEN Goodnight Glow Retin-ALT Sleeping Crème,1,1,1,1,0,7,57,4.1,https://cdn.shopify.com/s/files/1/0615/7785/5148/products/Transform_Plus_Goodnight_Glow_Sleeping_Creme.jpg?v=1656455760,28,
Moisturizer,SUNDAY RILEY U.F.O. Ultra-Clarifying Face Oil,1,1,1,1,1,6,74,4.1,https://www.sephora.com/productimages/sku/s1881382-main-zoom.jpg,6,
Moisturizer,GLOW RECIPE Watermelon Glow Sleeping Mask,1,1,1,1,1,7,37,4.4,https://www.ubuy.tn/productimg/?image=aHR0cHM6Ly9tLm1lZGlhLWFtYXpvbi5jb20vaW1hZ2VzL0kvNTFxUE9DWmd1ZEwuX1NMMTUwMF8uanBn.jpg,8,
Moisturizer,HERBIVORE Pink Cloud Rosewater Moisture Crème,1,1,1,1,1,3,41,3.9,https://media.allure.com/photos/5a330a07e5730250b2933a56/master/pass/herbivore.jpg,8,
Moisturizer,TARTE Radiance Drops - Rainforest of the Sea™ Collection,1,1,1,1,1,6,70,4.3,https://ba.fimgs.net/system/pics/17595/original/Tarte-Rainforest-of-the-Sea-Radiance-Drops.jpg,8,
Moisturizer,SUNDAY RILEY Tidal Brightening Enzyme Water Cream,1,1,1,0,1,4,60,4.6,https://tosnigeria.com/wp-content/uploads/2022/03/tidal-sunday-riley.jpg,2589,
Moisturizer,CAUDALIE Beauty Elixir,1,0,1,1,1,7,38,4.4,https://cdn.cosmostore.org/cache/front/shop/products/453/1336950/350x350.jpg,8,
Moisturizer,CAUDALIE Grape Water,1,1,1,1,1,1,13,4.4,https://m.media-amazon.com/images/I/61+kgxsUMGL._SL1500_.jpg,89,
Moisturizer,YOUTH TO THE PEOPLE Adaptogen Deep Moisture Cream,1,1,1,1,1,4,54,4.4,https://www.ubuy.tn/productimg/?image=aHR0cHM6Ly9tLm1lZGlhLWFtYXpvbi5jb20vaW1hZ2VzL0kvNjFtWmUzelE2V0wuX1NMMTUwMF8uanBn.jpg,8,
Moisturizer,LA MER The Renewal Oil,1,1,1,1,1,8,251,4.3,https://www.lamer.eu/media/export/cms/products/680x680/LM_SKU_5EXL01_63882_680x680_0.png,2489,
Moisturizer,BIOSSANCE Squalane + Vitamin C Rose Oil,1,1,1,1,1,2,69,4.7,https://static.thcdn.com/images/large/original//productimg/1600/1600/12766621-9424897139105061.jpg,124589,
Moisturizer,TARTE BB Tinted Treatment 12-Hour Primer Broad Spectrum SPF 30 Sunscreen,1,1,1,1,0,4,37,4.3,https://m.media-amazon.com/images/I/51rsADdW86L.jpg,12489,
